# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  54.30 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11520     0x0020     !    1
       24685     0x0010     !    2
       37900     0x0020     !    3
       51175     0x0010     !    4
       64500     0x0020     !    5
       77885     0x0010     !    6
       91330     0x0020     !    7
      104825     0x0010     !    8
      118385     0x0020     !    9
      132000     0x0010     !   10
      145675     0x0020     !   11
      159415     0x0010     !   12
      173215     0x0020     !   13
      187075     0x0010     !   14
      201000     0x0020     !   15
      214990     0x0010     !   16
      229045     0x0020     !   17
      243165     0x0010     !   18
      257355     0x0020     !   19
      271610     0x0010     !   20
      285935     0x0020     !   21
      300330     0x0010     !   22
      314795     0x0020     !   23
      329335     0x0010     !   24
      343945     0x0020     !   25
      358630     0x0010     !   26
      373390     0x0020     !   27
      388230     0x0010     !   28
      403145     0x0020     !   29
      418140     0x0010     !   30
      433215     0x0020     !   31
      448370     0x0010     !   32
      463610     0x0020     !   33
      478935     0x0010     !   34
      494345     0x0020     !   35
      509840     0x0010     !   36
      525425     0x0020     !   37
      541100     0x0010     !   38
      556870     0x0020     !   39
      572730     0x0010     !   40
      588685     0x0020     !   41
      604740     0x0010     !   42
      620895     0x0020     !   43
      637145     0x0010     !   44
      653500     0x0020     !   45
      669960     0x0010     !   46
      686525     0x0020     !   47
      703200     0x0010     !   48
      719985     0x0020     !   49
      736885     0x0010     !   50
      753895     0x0020     !   51
      771030     0x0010     !   52
      788280     0x0020     !   53
      805655     0x0010     !   54
      823150     0x0020     !   55
      840780     0x0010     !   56
      858540     0x0020     !   57
      876430     0x0010     !   58
      894460     0x0020     !   59
      912630     0x0010     !   60
      930940     0x0020     !   61
      949400     0x0010     !   62
      968010     0x0020     !   63
      986775     0x0010     !   64
     1005700     0x0020     !   65
     1024785     0x0010     !   66
     1044035     0x0020     !   67
     1063455     0x0010     !   68
     1083055     0x0020     !   69
     1102835     0x0010     !   70
     1122800     0x0020     !   71
     1142955     0x0010     !   72
     1163305     0x0020     !   73
     1183860     0x0010     !   74
     1204620     0x0020     !   75
     1225595     0x0010     !   76
     1246795     0x0020     !   77
     1268225     0x0010     !   78
     1289885     0x0020     !   79
     1311795     0x0010     !   80
     1333955     0x0020     !   81
     1356380     0x0010     !   82
     1379075     0x0020     !   83
     1402050     0x0010     !   84
     1425320     0x0020     !   85
     1448890     0x0010     !   86
     1472780     0x0020     !   87
     1496995     0x0010     !   88
     1521555     0x0020     !   89
     1546475     0x0010     !   90
     1571765     0x0020     !   91
     1597450     0x0010     !   92
     1623540     0x0020     !   93
     1650065     0x0010     !   94
     1677040     0x0020     !   95
     1704495     0x0010     !   96
     1732450     0x0020     !   97
     1760935     0x0010     !   98
     1789985     0x0020     !   99
     1819635     0x0010     !  100
     1849915     0x0020     !  101
     1880880     0x0010     !  102
     1912565     0x0020     !  103
     1945035     0x0010     !  104
     1978345     0x0020     !  105
     2012565     0x0010     !  106
     2047775     0x0020     !  107
     2084060     0x0010     !  108
     2121535     0x0020     !  109
     2160320     0x0010     !  110
     2200565     0x0020     !  111
     2242440     0x0010     !  112
     2286175     0x0020     !  113
     2332030     0x0010     !  114
     2380355     0x0020     !  115
     2431590     0x0010     !  116
     2486345     0x0020     !  117
     2545455     0x0010     !  118
     2610170     0x0020     !  119
     2682465     0x0010     !  120
     2765875     0x0020     !  121
     2868060     0x0010     !  122
     3015995     0x0000     !  123
     3396766     0x0000     !  124
#
#
# vx_i: 420.00 vx_f:  19.94 stages:123 phase:  54.30 mass:  17.00
