# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  55.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       10865     0x0020     !    1
       23145     0x0010     !    2
       35470     0x0020     !    3
       47835     0x0010     !    4
       60250     0x0020     !    5
       72710     0x0010     !    6
       85215     0x0020     !    7
       97765     0x0010     !    8
      110365     0x0020     !    9
      123015     0x0010     !   10
      135715     0x0020     !   11
      148460     0x0010     !   12
      161255     0x0020     !   13
      174105     0x0010     !   14
      187005     0x0020     !   15
      199955     0x0010     !   16
      212955     0x0020     !   17
      226010     0x0010     !   18
      239120     0x0020     !   19
      252280     0x0010     !   20
      265500     0x0020     !   21
      278775     0x0010     !   22
      292105     0x0020     !   23
      305490     0x0010     !   24
      318935     0x0020     !   25
      332440     0x0010     !   26
      346005     0x0020     !   27
      359625     0x0010     !   28
      373310     0x0020     !   29
      387055     0x0010     !   30
      400865     0x0020     !   31
      414735     0x0010     !   32
      428675     0x0020     !   33
      442675     0x0010     !   34
      456745     0x0020     !   35
      470875     0x0010     !   36
      485080     0x0020     !   37
      499355     0x0010     !   38
      513695     0x0020     !   39
      528110     0x0010     !   40
      542595     0x0020     !   41
      557155     0x0010     !   42
      571785     0x0020     !   43
      586495     0x0010     !   44
      601280     0x0020     !   45
      616145     0x0010     !   46
      631090     0x0020     !   47
      646115     0x0010     !   48
      661220     0x0020     !   49
      676410     0x0010     !   50
      691680     0x0020     !   51
      707040     0x0010     !   52
      722490     0x0020     !   53
      738025     0x0010     !   54
      753650     0x0020     !   55
      769370     0x0010     !   56
      785185     0x0020     !   57
      801090     0x0010     !   58
      817095     0x0020     !   59
      833200     0x0010     !   60
      849410     0x0020     !   61
      865715     0x0010     !   62
      882130     0x0020     !   63
      898650     0x0010     !   64
      915280     0x0020     !   65
      932020     0x0010     !   66
      948875     0x0020     !   67
      965845     0x0010     !   68
      982930     0x0020     !   69
     1000140     0x0010     !   70
     1017475     0x0020     !   71
     1034930     0x0010     !   72
     1052520     0x0020     !   73
     1070240     0x0010     !   74
     1088090     0x0020     !   75
     1106085     0x0010     !   76
     1124215     0x0020     !   77
     1142495     0x0010     !   78
     1160920     0x0020     !   79
     1179495     0x0010     !   80
     1198230     0x0020     !   81
     1217120     0x0010     !   82
     1236175     0x0020     !   83
     1255400     0x0010     !   84
     1274795     0x0020     !   85
     1294365     0x0010     !   86
     1314120     0x0020     !   87
     1334065     0x0010     !   88
     1354200     0x0020     !   89
     1374530     0x0010     !   90
     1395070     0x0020     !   91
     1415820     0x0010     !   92
     1436785     0x0020     !   93
     1457975     0x0010     !   94
     1479395     0x0020     !   95
     1501055     0x0010     !   96
     1522965     0x0020     !   97
     1545130     0x0010     !   98
     1567560     0x0020     !   99
     1590265     0x0010     !  100
     1613255     0x0020     !  101
     1636545     0x0010     !  102
     1660140     0x0020     !  103
     1684060     0x0010     !  104
     1708310     0x0020     !  105
     1732910     0x0010     !  106
     1757875     0x0020     !  107
     1783225     0x0010     !  108
     1808970     0x0020     !  109
     1835135     0x0010     !  110
     1861740     0x0020     !  111
     1888805     0x0010     !  112
     1916360     0x0020     !  113
     1944435     0x0010     !  114
     1973050     0x0020     !  115
     2002245     0x0010     !  116
     2032050     0x0020     !  117
     2062515     0x0010     !  118
     2093680     0x0020     !  119
     2125600     0x0010     !  120
     2158325     0x0020     !  121
     2191920     0x0010     !  122
     2226465     0x0000     !  123
     2307232     0x0000     !  124
#
#
# vx_i: 450.00 vx_f: 155.63 stages:123 phase:  55.00 mass:  17.00
