# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  62.53 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11380     0x0020     !    1
       23665     0x0010     !    2
       36005     0x0020     !    3
       48390     0x0010     !    4
       60830     0x0020     !    5
       73320     0x0010     !    6
       85865     0x0020     !    7
       98465     0x0010     !    8
      111120     0x0020     !    9
      123830     0x0010     !   10
      136590     0x0020     !   11
      149415     0x0010     !   12
      162295     0x0020     !   13
      175230     0x0010     !   14
      188225     0x0020     !   15
      201280     0x0010     !   16
      214400     0x0020     !   17
      227580     0x0010     !   18
      240820     0x0020     !   19
      254125     0x0010     !   20
      267490     0x0020     !   21
      280925     0x0010     !   22
      294425     0x0020     !   23
      307990     0x0010     !   24
      321625     0x0020     !   25
      335330     0x0010     !   26
      349105     0x0020     !   27
      362955     0x0010     !   28
      376870     0x0020     !   29
      390865     0x0010     !   30
      404930     0x0020     !   31
      419075     0x0010     !   32
      433295     0x0020     !   33
      447595     0x0010     !   34
      461970     0x0020     !   35
      476430     0x0010     !   36
      490975     0x0020     !   37
      505600     0x0010     !   38
      520315     0x0020     !   39
      535115     0x0010     !   40
      550000     0x0020     !   41
      564980     0x0010     !   42
      580050     0x0020     !   43
      595215     0x0010     !   44
      610470     0x0020     !   45
      625830     0x0010     !   46
      641285     0x0020     !   47
      656840     0x0010     !   48
      672500     0x0020     !   49
      688265     0x0010     !   50
      704135     0x0020     !   51
      720115     0x0010     !   52
      736210     0x0020     !   53
      752415     0x0010     !   54
      768740     0x0020     !   55
      785185     0x0010     !   56
      801750     0x0020     !   57
      818440     0x0010     !   58
      835255     0x0020     !   59
      852200     0x0010     !   60
      869280     0x0020     !   61
      886500     0x0010     !   62
      903855     0x0020     !   63
      921355     0x0010     !   64
      939005     0x0020     !   65
      956800     0x0010     !   66
      974755     0x0020     !   67
      992865     0x0010     !   68
     1011140     0x0020     !   69
     1029585     0x0010     !   70
     1048200     0x0020     !   71
     1066990     0x0010     !   72
     1085965     0x0020     !   73
     1105130     0x0010     !   74
     1124485     0x0020     !   75
     1144040     0x0010     !   76
     1163805     0x0020     !   77
     1183775     0x0010     !   78
     1203970     0x0020     !   79
     1224390     0x0010     !   80
     1245045     0x0020     !   81
     1265945     0x0010     !   82
     1287095     0x0020     !   83
     1308505     0x0010     !   84
     1330185     0x0020     !   85
     1352150     0x0010     !   86
     1374405     0x0020     !   87
     1396970     0x0010     !   88
     1419845     0x0020     !   89
     1443055     0x0010     !   90
     1466615     0x0020     !   91
     1490535     0x0010     !   92
     1514835     0x0020     !   93
     1539530     0x0010     !   94
     1564645     0x0020     !   95
     1590205     0x0010     !   96
     1616225     0x0020     !   97
     1642740     0x0010     !   98
     1669770     0x0020     !   99
     1697355     0x0010     !  100
     1725525     0x0020     !  101
     1754325     0x0010     !  102
     1783790     0x0020     !  103
     1813975     0x0010     !  104
     1844940     0x0020     !  105
     1876735     0x0010     !  106
     1909440     0x0020     !  107
     1943140     0x0010     !  108
     1977925     0x0020     !  109
     2013910     0x0010     !  110
     2051230     0x0020     !  111
     2090045     0x0010     !  112
     2130545     0x0020     !  113
     2172980     0x0010     !  114
     2217655     0x0020     !  115
     2264960     0x0010     !  116
     2315425     0x0020     !  117
     2369795     0x0010     !  118
     2429130     0x0020     !  119
     2495120     0x0010     !  120
     2570685     0x0020     !  121
     2661855     0x0010     !  122
     2786805     0x0000     !  123
     3042264     0x0000     !  124
#
#
# vx_i: 450.00 vx_f:  28.73 stages:123 phase:  62.53 mass:  17.00
