# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  62.50 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11380     0x0020     !    1
       23665     0x0010     !    2
       36000     0x0020     !    3
       48390     0x0010     !    4
       60830     0x0020     !    5
       73320     0x0010     !    6
       85865     0x0020     !    7
       98465     0x0010     !    8
      111115     0x0020     !    9
      123825     0x0010     !   10
      136590     0x0020     !   11
      149410     0x0010     !   12
      162290     0x0020     !   13
      175225     0x0010     !   14
      188220     0x0020     !   15
      201280     0x0010     !   16
      214395     0x0020     !   17
      227575     0x0010     !   18
      240815     0x0020     !   19
      254115     0x0010     !   20
      267485     0x0020     !   21
      280920     0x0010     !   22
      294420     0x0020     !   23
      307985     0x0010     !   24
      321620     0x0020     !   25
      335325     0x0010     !   26
      349095     0x0020     !   27
      362940     0x0010     !   28
      376860     0x0020     !   29
      390850     0x0010     !   30
      404920     0x0020     !   31
      419060     0x0010     !   32
      433280     0x0020     !   33
      447575     0x0010     !   34
      461955     0x0020     !   35
      476415     0x0010     !   36
      490955     0x0020     !   37
      505580     0x0010     !   38
      520290     0x0020     !   39
      535090     0x0010     !   40
      549975     0x0020     !   41
      564955     0x0010     !   42
      580020     0x0020     !   43
      595185     0x0010     !   44
      610440     0x0020     !   45
      625795     0x0010     !   46
      641250     0x0020     !   47
      656805     0x0010     !   48
      672460     0x0020     !   49
      688225     0x0010     !   50
      704090     0x0020     !   51
      720070     0x0010     !   52
      736160     0x0020     !   53
      752365     0x0010     !   54
      768685     0x0020     !   55
      785125     0x0010     !   56
      801690     0x0020     !   57
      818375     0x0010     !   58
      835190     0x0020     !   59
      852130     0x0010     !   60
      869210     0x0020     !   61
      886420     0x0010     !   62
      903775     0x0020     !   63
      921270     0x0010     !   64
      938915     0x0020     !   65
      956710     0x0010     !   66
      974655     0x0020     !   67
      992765     0x0010     !   68
     1011035     0x0020     !   69
     1029470     0x0010     !   70
     1048080     0x0020     !   71
     1066870     0x0010     !   72
     1085840     0x0020     !   73
     1104995     0x0010     !   74
     1124345     0x0020     !   75
     1143895     0x0010     !   76
     1163650     0x0020     !   77
     1183615     0x0010     !   78
     1203800     0x0020     !   79
     1224215     0x0010     !   80
     1244860     0x0020     !   81
     1265750     0x0010     !   82
     1286890     0x0020     !   83
     1308295     0x0010     !   84
     1329965     0x0020     !   85
     1351920     0x0010     !   86
     1374165     0x0020     !   87
     1396715     0x0010     !   88
     1419580     0x0020     !   89
     1442780     0x0010     !   90
     1466320     0x0020     !   91
     1490225     0x0010     !   92
     1514510     0x0020     !   93
     1539190     0x0010     !   94
     1564290     0x0020     !   95
     1589830     0x0010     !   96
     1615830     0x0020     !   97
     1642320     0x0010     !   98
     1669330     0x0020     !   99
     1696890     0x0010     !  100
     1725035     0x0020     !  101
     1753805     0x0010     !  102
     1783240     0x0020     !  103
     1813395     0x0010     !  104
     1844315     0x0020     !  105
     1876075     0x0010     !  106
     1908735     0x0020     !  107
     1942385     0x0010     !  108
     1977115     0x0020     !  109
     2013040     0x0010     !  110
     2050290     0x0020     !  111
     2089030     0x0010     !  112
     2129440     0x0020     !  113
     2171775     0x0010     !  114
     2216325     0x0020     !  115
     2263485     0x0010     !  116
     2313775     0x0020     !  117
     2367915     0x0010     !  118
     2426960     0x0020     !  119
     2492545     0x0010     !  120
     2567490     0x0020     !  121
     2657565     0x0010     !  122
     2779555     0x0000     !  123
     3187749     0x0000     !  124
#
#
# vx_i: 450.00 vx_f:  30.23 stages:123 phase:  62.50 mass:  17.00
