# vx_i: 450.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        7125     0x0020     !    1
       19350     0x0010     !    2
       31580     0x0020     !    3
       43805     0x0010     !    4
       56035     0x0020     !    5
       68260     0x0010     !    6
       80490     0x0020     !    7
       92715     0x0010     !    8
      104945     0x0020     !    9
      117170     0x0010     !   10
      129400     0x0020     !   11
      141625     0x0010     !   12
      153855     0x0020     !   13
      166080     0x0010     !   14
      178310     0x0020     !   15
      190535     0x0010     !   16
      202765     0x0020     !   17
      214990     0x0010     !   18
      227220     0x0020     !   19
      239445     0x0010     !   20
      251675     0x0020     !   21
      263900     0x0010     !   22
      276130     0x0020     !   23
      288355     0x0010     !   24
      300585     0x0020     !   25
      312810     0x0010     !   26
      325040     0x0020     !   27
      337265     0x0010     !   28
      349495     0x0020     !   29
      361720     0x0010     !   30
      373950     0x0020     !   31
      386175     0x0010     !   32
      398405     0x0020     !   33
      410630     0x0010     !   34
      422860     0x0020     !   35
      435085     0x0010     !   36
      447315     0x0020     !   37
      459540     0x0010     !   38
      471770     0x0020     !   39
      483995     0x0010     !   40
      496225     0x0020     !   41
      508450     0x0010     !   42
      520680     0x0020     !   43
      532905     0x0010     !   44
      545135     0x0020     !   45
      557360     0x0010     !   46
      569590     0x0020     !   47
      581815     0x0010     !   48
      594045     0x0020     !   49
      606270     0x0010     !   50
      618500     0x0020     !   51
      630725     0x0010     !   52
      642955     0x0020     !   53
      655180     0x0010     !   54
      667410     0x0020     !   55
      679635     0x0010     !   56
      691865     0x0020     !   57
      704090     0x0010     !   58
      716320     0x0020     !   59
      728545     0x0010     !   60
      740775     0x0020     !   61
      753000     0x0010     !   62
      765230     0x0020     !   63
      777455     0x0010     !   64
      789685     0x0020     !   65
      801910     0x0010     !   66
      814140     0x0020     !   67
      826365     0x0010     !   68
      838595     0x0020     !   69
      850820     0x0010     !   70
      863050     0x0020     !   71
      875275     0x0010     !   72
      887505     0x0020     !   73
      899730     0x0010     !   74
      911960     0x0020     !   75
      924185     0x0010     !   76
      936415     0x0020     !   77
      948640     0x0010     !   78
      960870     0x0020     !   79
      973095     0x0010     !   80
      985325     0x0020     !   81
      997550     0x0010     !   82
     1009780     0x0020     !   83
     1022005     0x0010     !   84
     1034235     0x0020     !   85
     1046460     0x0010     !   86
     1058690     0x0020     !   87
     1070915     0x0010     !   88
     1083145     0x0020     !   89
     1095370     0x0010     !   90
     1107600     0x0020     !   91
     1119825     0x0010     !   92
     1132055     0x0020     !   93
     1144280     0x0010     !   94
     1156510     0x0020     !   95
     1168735     0x0010     !   96
     1180965     0x0020     !   97
     1193190     0x0010     !   98
     1205420     0x0020     !   99
     1217645     0x0010     !  100
     1229875     0x0020     !  101
     1242100     0x0010     !  102
     1254330     0x0020     !  103
     1266555     0x0010     !  104
     1278785     0x0020     !  105
     1291010     0x0010     !  106
     1303240     0x0020     !  107
     1315465     0x0010     !  108
     1327695     0x0020     !  109
     1339920     0x0010     !  110
     1352150     0x0020     !  111
     1364375     0x0010     !  112
     1376605     0x0020     !  113
     1388830     0x0010     !  114
     1401060     0x0020     !  115
     1413285     0x0010     !  116
     1425515     0x0020     !  117
     1437740     0x0010     !  118
     1449970     0x0020     !  119
     1462195     0x0010     !  120
     1474425     0x0020     !  121
     1486650     0x0010     !  122
     1498880     0x0000     !  123
     1530588     0x0000     !  124
#
#
# vx_i: 450.00 vx_f: 449.40 stages:123 phase:   0.00 mass:  17.00
