#
#
#
#
1010 0x0010 ! 
11455 0x0020 ! 1
24310 0x0010 ! 2
37220 0x0020 ! 3
50185 0x0010 ! 4
63205 0x0020 ! 5
76275 0x0010 ! 6
89405 0x0020 ! 7
102585 0x0010 ! 8
115830 0x0020 ! 9
129130 0x0010 ! 10
142485 0x0020 ! 11
155900 0x0010 ! 12
169380 0x0020 ! 13
182915 0x0010 ! 14
196515 0x0020 ! 15
210180 0x0010 ! 16
223905 0x0020 ! 17
237695 0x0010 ! 18
251550 0x0020 ! 19
265475 0x0010 ! 20
279460 0x0020 ! 21
293520 0x0010 ! 22
307645 0x0020 ! 23
321840 0x0010 ! 24
336110 0x0020 ! 25
350450 0x0010 ! 26
364865 0x0020 ! 27
379350 0x0010 ! 28
393915 0x0020 ! 29
408555 0x0010 ! 30
423275 0x0020 ! 31
438075 0x0010 ! 32
452955 0x0020 ! 33
467915 0x0010 ! 34
482960 0x0020 ! 35
498090 0x0010 ! 36
513310 0x0020 ! 37
528610 0x0010 ! 38
544005 0x0020 ! 39
559490 0x0010 ! 40
575070 0x0020 ! 41
590740 0x0010 ! 42
606505 0x0020 ! 43
622375 0x0010 ! 44
638340 0x0020 ! 45
654405 0x0010 ! 46
670575 0x0020 ! 47
686850 0x0010 ! 48
703235 0x0020 ! 49
719730 0x0010 ! 50
736335 0x0020 ! 51
753055 0x0010 ! 52
769890 0x0020 ! 53
786845 0x0010 ! 54
803925 0x0020 ! 55
821125 0x0010 ! 56
838455 0x0020 ! 57
855915 0x0010 ! 58
873510 0x0020 ! 59
891240 0x0010 ! 60
909105 0x0020 ! 61
927120 0x0010 ! 62
945275 0x0020 ! 63
963585 0x0010 ! 64
982045 0x0020 ! 65
1000665 0x0010 ! 66
1019445 0x0020 ! 67
1038390 0x0010 ! 68
1057505 0x0020 ! 69
1076800 0x0010 ! 70
1096270 0x0020 ! 71
1115930 0x0010 ! 72
1135775 0x0020 ! 73
1155820 0x0010 ! 74
1176065 0x0020 ! 75
1196520 0x0010 ! 76
1217190 0x0020 ! 77
1238080 0x0010 ! 78
1259200 0x0020 ! 79
1280560 0x0010 ! 80
1302160 0x0020 ! 81
1324020 0x0010 ! 82
1346135 0x0020 ! 83
1368530 0x0010 ! 84
1391200 0x0020 ! 85
1414170 0x0010 ! 86
1437445 0x0020 ! 87
1461035 0x0010 ! 88
1484960 0x0020 ! 89
1509230 0x0010 ! 90
1533860 0x0020 ! 91
1558870 0x0010 ! 92
1584275 0x0020 ! 93
1610095 0x0010 ! 94
1636350 0x0020 ! 95
1663070 0x0010 ! 96
1690270 0x0020 ! 97
1717980 0x0010 ! 98
1746235 0x0020 ! 99
1775065 0x0010 ! 100
1804505 0x0020 ! 101
1834600 0x0010 ! 102
1865390 0x0020 ! 103
1896930 0x0010 ! 104
1929275 0x0020 ! 105
1962490 0x0010 ! 106
1996650 0x0020 ! 107
2031840 0x0010 ! 108
2068165 0x0020 ! 109
2105730 0x0010 ! 110
2144685 0x0020 ! 111
2185190 0x0010 ! 112
2227445 0x0020 ! 113
2271700 0x0010 ! 114
2318270 0x0020 ! 115
2367560 0x0010 ! 116
2420110 0x0020 ! 117
2476675 0x0010 ! 118
2538340 0x0020 ! 119
2606800 0x0010 ! 120
2684975 0x0020 ! 121
2778780 0x0010 ! 122
2905295 0x0000 ! 123
3339108 0x0000 ! 124
#
#
#
