# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  20.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        8485     0x0020     !    1
       20725     0x0010     !    2
       32985     0x0020     !    3
       45260     0x0010     !    4
       57550     0x0020     !    5
       69855     0x0010     !    6
       82175     0x0020     !    7
       94510     0x0010     !    8
      106865     0x0020     !    9
      119230     0x0010     !   10
      131615     0x0020     !   11
      144015     0x0010     !   12
      156430     0x0020     !   13
      168860     0x0010     !   14
      181310     0x0020     !   15
      193775     0x0010     !   16
      206255     0x0020     !   17
      218750     0x0010     !   18
      231260     0x0020     !   19
      243790     0x0010     !   20
      256335     0x0020     !   21
      268895     0x0010     !   22
      281475     0x0020     !   23
      294070     0x0010     !   24
      306680     0x0020     !   25
      319310     0x0010     !   26
      331955     0x0020     !   27
      344615     0x0010     !   28
      357295     0x0020     !   29
      369990     0x0010     !   30
      382705     0x0020     !   31
      395435     0x0010     !   32
      408185     0x0020     !   33
      420950     0x0010     !   34
      433730     0x0020     !   35
      446530     0x0010     !   36
      459345     0x0020     !   37
      472180     0x0010     !   38
      485035     0x0020     !   39
      497905     0x0010     !   40
      510795     0x0020     !   41
      523700     0x0010     !   42
      536625     0x0020     !   43
      549565     0x0010     !   44
      562525     0x0020     !   45
      575505     0x0010     !   46
      588500     0x0020     !   47
      601515     0x0010     !   48
      614550     0x0020     !   49
      627600     0x0010     !   50
      640670     0x0020     !   51
      653760     0x0010     !   52
      666870     0x0020     !   53
      679995     0x0010     !   54
      693140     0x0020     !   55
      706305     0x0010     !   56
      719490     0x0020     !   57
      732695     0x0010     !   58
      745915     0x0020     !   59
      759155     0x0010     !   60
      772420     0x0020     !   61
      785700     0x0010     !   62
      799000     0x0020     !   63
      812320     0x0010     !   64
      825655     0x0020     !   65
      839015     0x0010     !   66
      852395     0x0020     !   67
      865795     0x0010     !   68
      879215     0x0020     !   69
      892655     0x0010     !   70
      906115     0x0020     !   71
      919595     0x0010     !   72
      933095     0x0020     !   73
      946615     0x0010     !   74
      960160     0x0020     !   75
      973720     0x0010     !   76
      987305     0x0020     !   77
     1000910     0x0010     !   78
     1014535     0x0020     !   79
     1028185     0x0010     !   80
     1041850     0x0020     !   81
     1055540     0x0010     !   82
     1069250     0x0020     !   83
     1082985     0x0010     !   84
     1096740     0x0020     !   85
     1110515     0x0010     !   86
     1124310     0x0020     !   87
     1138130     0x0010     !   88
     1151975     0x0020     !   89
     1165835     0x0010     !   90
     1179725     0x0020     !   91
     1193630     0x0010     !   92
     1207565     0x0020     !   93
     1221515     0x0010     !   94
     1235495     0x0020     !   95
     1249495     0x0010     !   96
     1263515     0x0020     !   97
     1277560     0x0010     !   98
     1291630     0x0020     !   99
     1305720     0x0010     !  100
     1319835     0x0020     !  101
     1333975     0x0010     !  102
     1348140     0x0020     !  103
     1362325     0x0010     !  104
     1376535     0x0020     !  105
     1390770     0x0010     !  106
     1405025     0x0020     !  107
     1419310     0x0010     !  108
     1433615     0x0020     !  109
     1447945     0x0010     !  110
     1462305     0x0020     !  111
     1476685     0x0010     !  112
     1491090     0x0020     !  113
     1505520     0x0010     !  114
     1519975     0x0020     !  115
     1534455     0x0010     !  116
     1548965     0x0020     !  117
     1563495     0x0010     !  118
     1578055     0x0020     !  119
     1592635     0x0010     !  120
     1607245     0x0020     !  121
     1621880     0x0010     !  122
     1636545     0x0000     !  123
     1672983     0x0000     !  124
#
#
# vx_i: 450.00 vx_f: 374.30 stages:123 phase:  20.00 mass:  17.00
