# vx_i: 420.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        7560     0x0020     !    1
       20660     0x0010     !    2
       33765     0x0020     !    3
       46865     0x0010     !    4
       59965     0x0020     !    5
       73070     0x0010     !    6
       86170     0x0020     !    7
       99270     0x0010     !    8
      112375     0x0020     !    9
      125475     0x0010     !   10
      138575     0x0020     !   11
      151680     0x0010     !   12
      164780     0x0020     !   13
      177880     0x0010     !   14
      190980     0x0020     !   15
      204085     0x0010     !   16
      217185     0x0020     !   17
      230285     0x0010     !   18
      243390     0x0020     !   19
      256490     0x0010     !   20
      269590     0x0020     !   21
      282695     0x0010     !   22
      295795     0x0020     !   23
      308895     0x0010     !   24
      322000     0x0020     !   25
      335100     0x0010     !   26
      348200     0x0020     !   27
      361300     0x0010     !   28
      374405     0x0020     !   29
      387505     0x0010     !   30
      400605     0x0020     !   31
      413710     0x0010     !   32
      426810     0x0020     !   33
      439910     0x0010     !   34
      453015     0x0020     !   35
      466115     0x0010     !   36
      479215     0x0020     !   37
      492320     0x0010     !   38
      505420     0x0020     !   39
      518520     0x0010     !   40
      531620     0x0020     !   41
      544725     0x0010     !   42
      557825     0x0020     !   43
      570925     0x0010     !   44
      584030     0x0020     !   45
      597130     0x0010     !   46
      610230     0x0020     !   47
      623335     0x0010     !   48
      636435     0x0020     !   49
      649535     0x0010     !   50
      662640     0x0020     !   51
      675740     0x0010     !   52
      688840     0x0020     !   53
      701940     0x0010     !   54
      715045     0x0020     !   55
      728145     0x0010     !   56
      741245     0x0020     !   57
      754350     0x0010     !   58
      767450     0x0020     !   59
      780550     0x0010     !   60
      793655     0x0020     !   61
      806755     0x0010     !   62
      819855     0x0020     !   63
      832960     0x0010     !   64
      846060     0x0020     !   65
      859160     0x0010     !   66
      872260     0x0020     !   67
      885365     0x0010     !   68
      898465     0x0020     !   69
      911565     0x0010     !   70
      924670     0x0020     !   71
      937770     0x0010     !   72
      950870     0x0020     !   73
      963975     0x0010     !   74
      977075     0x0020     !   75
      990175     0x0010     !   76
     1003280     0x0020     !   77
     1016380     0x0010     !   78
     1029480     0x0020     !   79
     1042580     0x0010     !   80
     1055685     0x0020     !   81
     1068785     0x0010     !   82
     1081885     0x0020     !   83
     1094990     0x0010     !   84
     1108090     0x0020     !   85
     1121190     0x0010     !   86
     1134295     0x0020     !   87
     1147395     0x0010     !   88
     1160495     0x0020     !   89
     1173600     0x0010     !   90
     1186700     0x0020     !   91
     1199800     0x0010     !   92
     1212900     0x0020     !   93
     1226005     0x0010     !   94
     1239105     0x0020     !   95
     1252205     0x0010     !   96
     1265310     0x0020     !   97
     1278410     0x0010     !   98
     1291510     0x0020     !   99
     1304615     0x0010     !  100
     1317715     0x0020     !  101
     1330815     0x0010     !  102
     1343920     0x0020     !  103
     1357020     0x0010     !  104
     1370120     0x0020     !  105
     1383220     0x0010     !  106
     1396325     0x0020     !  107
     1409425     0x0010     !  108
     1422525     0x0020     !  109
     1435630     0x0010     !  110
     1448730     0x0020     !  111
     1461830     0x0010     !  112
     1474935     0x0020     !  113
     1488035     0x0010     !  114
     1501135     0x0020     !  115
     1514240     0x0010     !  116
     1527340     0x0020     !  117
     1540440     0x0010     !  118
     1553540     0x0020     !  119
     1566645     0x0010     !  120
     1579745     0x0020     !  121
     1592845     0x0010     !  122
     1605950     0x0000     !  123
     1628006     0x0000     !  124
#
#
# vx_i: 420.00 vx_f: 419.38 stages:123 phase:   0.00 mass:  17.00
