# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  54.90 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11565     0x0020     !    1
       24730     0x0010     !    2
       37950     0x0020     !    3
       51225     0x0010     !    4
       64555     0x0020     !    5
       77940     0x0010     !    6
       91385     0x0020     !    7
      104890     0x0010     !    8
      118455     0x0020     !    9
      132075     0x0010     !   10
      145760     0x0020     !   11
      159505     0x0010     !   12
      173315     0x0020     !   13
      187185     0x0010     !   14
      201120     0x0020     !   15
      215120     0x0010     !   16
      229190     0x0020     !   17
      243325     0x0010     !   18
      257525     0x0020     !   19
      271795     0x0010     !   20
      286135     0x0020     !   21
      300550     0x0010     !   22
      315030     0x0020     !   23
      329590     0x0010     !   24
      344220     0x0020     !   25
      358930     0x0010     !   26
      373710     0x0020     !   27
      388575     0x0010     !   28
      403515     0x0020     !   29
      418535     0x0010     !   30
      433635     0x0020     !   31
      448825     0x0010     !   32
      464095     0x0020     !   33
      479450     0x0010     !   34
      494890     0x0020     !   35
      510425     0x0010     !   36
      526045     0x0020     !   37
      541760     0x0010     !   38
      557570     0x0020     !   39
      573470     0x0010     !   40
      589470     0x0020     !   41
      605570     0x0010     !   42
      621770     0x0020     !   43
      638075     0x0010     !   44
      654480     0x0020     !   45
      670995     0x0010     !   46
      687615     0x0020     !   47
      704350     0x0010     !   48
      721195     0x0020     !   49
      738155     0x0010     !   50
      755235     0x0020     !   51
      772435     0x0010     !   52
      789760     0x0020     !   53
      807205     0x0010     !   54
      824785     0x0020     !   55
      842490     0x0010     !   56
      860335     0x0020     !   57
      878315     0x0010     !   58
      896435     0x0020     !   59
      914700     0x0010     !   60
      933110     0x0020     !   61
      951675     0x0010     !   62
      970390     0x0020     !   63
      989265     0x0010     !   64
     1008305     0x0020     !   65
     1027510     0x0010     !   66
     1046890     0x0020     !   67
     1066445     0x0010     !   68
     1086180     0x0020     !   69
     1106100     0x0010     !   70
     1126215     0x0020     !   71
     1146525     0x0010     !   72
     1167040     0x0020     !   73
     1187765     0x0010     !   74
     1208705     0x0020     !   75
     1229865     0x0010     !   76
     1251260     0x0020     !   77
     1272890     0x0010     !   78
     1294770     0x0020     !   79
     1316900     0x0010     !   80
     1339295     0x0020     !   81
     1361965     0x0010     !   82
     1384920     0x0020     !   83
     1408165     0x0010     !   84
     1431720     0x0020     !   85
     1455590     0x0010     !   86
     1479795     0x0020     !   87
     1504350     0x0010     !   88
     1529260     0x0020     !   89
     1554550     0x0010     !   90
     1580235     0x0020     !   91
     1606340     0x0010     !   92
     1632875     0x0020     !   93
     1659870     0x0010     !   94
     1687350     0x0020     !   95
     1715340     0x0010     !   96
     1743865     0x0020     !   97
     1772965     0x0010     !   98
     1802670     0x0020     !   99
     1833025     0x0010     !  100
     1864070     0x0020     !  101
     1895860     0x0010     !  102
     1928445     0x0020     !  103
     1961885     0x0010     !  104
     1996260     0x0020     !  105
     2031650     0x0010     !  106
     2068150     0x0020     !  107
     2105875     0x0010     !  108
     2144945     0x0020     !  109
     2185530     0x0010     !  110
     2227815     0x0020     !  111
     2272030     0x0010     !  112
     2318470     0x0020     !  113
     2367515     0x0010     !  114
     2419645     0x0020     !  115
     2475545     0x0010     !  116
     2536160     0x0020     !  117
     2602945     0x0010     !  118
     2678285     0x0020     !  119
     2766685     0x0010     !  120
     2879080     0x0020     !  121
