# vx_i: 420.00 vx_f:   0.00 stages:123 phase:  56.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11645     0x0020     !    1
       24810     0x0010     !    2
       38035     0x0020     !    3
       51310     0x0010     !    4
       64645     0x0020     !    5
       78040     0x0010     !    6
       91490     0x0020     !    7
      105005     0x0010     !    8
      118575     0x0020     !    9
      132210     0x0010     !   10
      145910     0x0020     !   11
      159665     0x0010     !   12
      173490     0x0020     !   13
      187380     0x0010     !   14
      201335     0x0020     !   15
      215355     0x0010     !   16
      229445     0x0020     !   17
      243600     0x0010     !   18
      257825     0x0020     !   19
      272125     0x0010     !   20
      286495     0x0020     !   21
      300935     0x0010     !   22
      315455     0x0020     !   23
      330045     0x0010     !   24
      344710     0x0020     !   25
      359460     0x0010     !   26
      374280     0x0020     !   27
      389185     0x0010     !   28
      404170     0x0020     !   29
      419240     0x0010     !   30
      434395     0x0020     !   31
      449630     0x0010     !   32
      464955     0x0020     !   33
      480370     0x0010     !   34
      495875     0x0020     !   35
      511470     0x0010     !   36
      527160     0x0020     !   37
      542940     0x0010     !   38
      558820     0x0020     !   39
      574800     0x0010     !   40
      590880     0x0020     !   41
      607060     0x0010     !   42
      623350     0x0020     !   43
      639740     0x0010     !   44
      656240     0x0020     !   45
      672855     0x0010     !   46
      689575     0x0020     !   47
      706415     0x0010     !   48
      723375     0x0020     !   49
      740450     0x0010     !   50
      757650     0x0020     !   51
      774975     0x0010     !   52
      792430     0x0020     !   53
      810015     0x0010     !   54
      827735     0x0020     !   55
      845590     0x0010     !   56
      863585     0x0020     !   57
      881730     0x0010     !   58
      900015     0x0020     !   59
      918455     0x0010     !   60
      937045     0x0020     !   61
      955800     0x0010     !   62
      974715     0x0020     !   63
      993795     0x0010     !   64
     1013050     0x0020     !   65
     1032480     0x0010     !   66
     1052095     0x0020     !   67
     1071890     0x0010     !   68
     1091880     0x0020     !   69
     1112070     0x0010     !   70
     1132460     0x0020     !   71
     1153060     0x0010     !   72
     1173880     0x0020     !   73
     1194920     0x0010     !   74
     1216195     0x0020     !   75
     1237705     0x0010     !   76
     1259465     0x0020     !   77
     1281475     0x0010     !   78
     1303755     0x0020     !   79
     1326310     0x0010     !   80
     1349145     0x0020     !   81
     1372280     0x0010     !   82
     1395725     0x0020     !   83
     1419485     0x0010     !   84
     1443580     0x0020     !   85
     1468030     0x0010     !   86
     1492835     0x0020     !   87
     1518030     0x0010     !   88
     1543615     0x0020     !   89
     1569625     0x0010     !   90
     1596075     0x0020     !   91
     1622985     0x0010     !   92
     1650385     0x0020     !   93
     1678300     0x0010     !   94
     1706760     0x0020     !   95
     1735800     0x0010     !   96
     1765460     0x0020     !   97
     1795775     0x0010     !   98
     1826790     0x0020     !   99
     1858560     0x0010     !  100
     1891145     0x0020     !  101
     1924610     0x0010     !  102
     1959025     0x0020     !  103
     1994475     0x0010     !  104
     2031070     0x0020     !  105
     2068920     0x0010     !  106
     2108170     0x0020     !  107
     2148980     0x0010     !  108
     2191555     0x0020     !  109
     2236150     0x0010     !  110
     2283080     0x0020     !  111
     2332755     0x0010     !  112
     2385725     0x0020     !  113
     2442745     0x0010     !  114
     2504915     0x0020     !  115
     2573960     0x0010     !  116
     2652835     0x0020     !  117
     2747570     0x0010     !  118
     2875680     0x0020     !  119
