# vx_i: 450.00 vx_f:   0.00 stages:123 phase:  62.30 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11365     0x0020     !    1
       23650     0x0010     !    2
       35985     0x0020     !    3
       48375     0x0010     !    4
       60810     0x0020     !    5
       73305     0x0010     !    6
       85845     0x0020     !    7
       98445     0x0010     !    8
      111095     0x0020     !    9
      123805     0x0010     !   10
      136565     0x0020     !   11
      149385     0x0010     !   12
      162260     0x0020     !   13
      175195     0x0010     !   14
      188190     0x0020     !   15
      201240     0x0010     !   16
      214355     0x0020     !   17
      227530     0x0010     !   18
      240765     0x0020     !   19
      254065     0x0010     !   20
      267430     0x0020     !   21
      280860     0x0010     !   22
      294355     0x0020     !   23
      307915     0x0010     !   24
      321545     0x0020     !   25
      335245     0x0010     !   26
      349010     0x0020     !   27
      362850     0x0010     !   28
      376765     0x0020     !   29
      390750     0x0010     !   30
      404805     0x0020     !   31
      418940     0x0010     !   32
      433155     0x0020     !   33
      447445     0x0010     !   34
      461810     0x0020     !   35
      476260     0x0010     !   36
      490795     0x0020     !   37
      505410     0x0010     !   38
      520110     0x0020     !   39
      534900     0x0010     !   40
      549775     0x0020     !   41
      564740     0x0010     !   42
      579795     0x0020     !   43
      594945     0x0010     !   44
      610190     0x0020     !   45
      625530     0x0010     !   46
      640970     0x0020     !   47
      656510     0x0010     !   48
      672150     0x0020     !   49
      687900     0x0010     !   50
      703750     0x0020     !   51
      719715     0x0010     !   52
      735785     0x0020     !   53
      751970     0x0010     !   54
      768275     0x0020     !   55
      784695     0x0010     !   56
      801235     0x0020     !   57
      817900     0x0010     !   58
      834690     0x0020     !   59
      851610     0x0010     !   60
      868660     0x0020     !   61
      885850     0x0010     !   62
      903175     0x0020     !   63
      920645     0x0010     !   64
      938260     0x0020     !   65
      956025     0x0010     !   66
      973945     0x0020     !   67
      992020     0x0010     !   68
     1010255     0x0020     !   69
     1028655     0x0010     !   70
     1047230     0x0020     !   71
     1065980     0x0010     !   72
     1084910     0x0020     !   73
     1104025     0x0010     !   74
     1123330     0x0020     !   75
     1142835     0x0010     !   76
     1162540     0x0020     !   77
     1182460     0x0010     !   78
     1202595     0x0020     !   79
     1222955     0x0010     !   80
     1243545     0x0020     !   81
     1264375     0x0010     !   82
     1285450     0x0020     !   83
     1306790     0x0010     !   84
     1328390     0x0020     !   85
     1350275     0x0010     !   86
     1372445     0x0020     !   87
     1394915     0x0010     !   88
     1417695     0x0020     !   89
     1440805     0x0010     !   90
     1464255     0x0020     !   91
     1488060     0x0010     !   92
     1512240     0x0020     !   93
     1536810     0x0010     !   94
     1561790     0x0020     !   95
     1587205     0x0010     !   96
     1613070     0x0020     !   97
     1639420     0x0010     !   98
     1666275     0x0020     !   99
     1693670     0x0010     !  100
     1721640     0x0020     !  101
     1750220     0x0010     !  102
     1779450     0x0020     !  103
     1809380     0x0010     !  104
     1840060     0x0020     !  105
     1871555     0x0010     !  106
     1903925     0x0020     !  107
     1937255     0x0010     !  108
     1971630     0x0020     !  109
     2007160     0x0010     !  110
     2043965     0x0020     !  111
     2082200     0x0010     !  112
     2122035     0x0020     !  113
     2163700     0x0010     !  114
     2207470     0x0020     !  115
     2253700     0x0010     !  116
     2302850     0x0020     !  117
     2355570     0x0010     !  118
     2412765     0x0020     !  119
     2475820     0x0010     !  120
     2547020     0x0020     !  121
     2630700     0x0010     !  122
     2737510     0x0000     !  123
     2926955     0x0000     !  124
#
#
# vx_i: 450.00 vx_f:  38.78 stages:123 phase:  62.30 mass:  17.00
