# vx_i: 480.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
        6740     0x0020     !    1
       18205     0x0010     !    2
       29665     0x0020     !    3
       41130     0x0010     !    4
       52590     0x0020     !    5
       64055     0x0010     !    6
       75515     0x0020     !    7
       86980     0x0010     !    8
       98440     0x0020     !    9
      109905     0x0010     !   10
      121365     0x0020     !   11
      132830     0x0010     !   12
      144290     0x0020     !   13
      155755     0x0010     !   14
      167215     0x0020     !   15
      178680     0x0010     !   16
      190140     0x0020     !   17
      201605     0x0010     !   18
      213065     0x0020     !   19
      224530     0x0010     !   20
      235990     0x0020     !   21
      247455     0x0010     !   22
      258915     0x0020     !   23
      270380     0x0010     !   24
      281840     0x0020     !   25
      293305     0x0010     !   26
      304765     0x0020     !   27
      316230     0x0010     !   28
      327690     0x0020     !   29
      339155     0x0010     !   30
      350615     0x0020     !   31
      362080     0x0010     !   32
      373540     0x0020     !   33
      385005     0x0010     !   34
      396465     0x0020     !   35
      407930     0x0010     !   36
      419390     0x0020     !   37
      430855     0x0010     !   38
      442315     0x0020     !   39
      453780     0x0010     !   40
      465240     0x0020     !   41
      476705     0x0010     !   42
      488165     0x0020     !   43
      499630     0x0010     !   44
      511090     0x0020     !   45
      522555     0x0010     !   46
      534015     0x0020     !   47
      545480     0x0010     !   48
      556940     0x0020     !   49
      568405     0x0010     !   50
      579865     0x0020     !   51
      591330     0x0010     !   52
      602790     0x0020     !   53
      614255     0x0010     !   54
      625715     0x0020     !   55
      637180     0x0010     !   56
      648640     0x0020     !   57
      660105     0x0010     !   58
      671565     0x0020     !   59
      683030     0x0010     !   60
      694490     0x0020     !   61
      705955     0x0010     !   62
      717415     0x0020     !   63
      728880     0x0010     !   64
      740340     0x0020     !   65
      751805     0x0010     !   66
      763265     0x0020     !   67
      774730     0x0010     !   68
      786190     0x0020     !   69
      797655     0x0010     !   70
      809115     0x0020     !   71
      820580     0x0010     !   72
      832040     0x0020     !   73
      843505     0x0010     !   74
      854965     0x0020     !   75
      866430     0x0010     !   76
      877890     0x0020     !   77
      889355     0x0010     !   78
      900815     0x0020     !   79
      912280     0x0010     !   80
      923740     0x0020     !   81
      935205     0x0010     !   82
      946665     0x0020     !   83
      958130     0x0010     !   84
      969590     0x0020     !   85
      981055     0x0010     !   86
      992515     0x0020     !   87
     1003980     0x0010     !   88
     1015440     0x0020     !   89
     1026905     0x0010     !   90
     1038365     0x0020     !   91
     1049830     0x0010     !   92
     1061290     0x0020     !   93
     1072755     0x0010     !   94
     1084215     0x0020     !   95
     1095680     0x0010     !   96
     1107140     0x0020     !   97
     1118605     0x0010     !   98
     1130065     0x0020     !   99
     1141530     0x0010     !  100
     1152990     0x0020     !  101
     1164455     0x0010     !  102
     1175915     0x0020     !  103
     1187380     0x0010     !  104
     1198840     0x0020     !  105
     1210305     0x0010     !  106
     1221765     0x0020     !  107
     1233230     0x0010     !  108
     1244690     0x0020     !  109
     1256155     0x0010     !  110
     1267615     0x0020     !  111
     1279080     0x0010     !  112
     1290540     0x0020     !  113
     1302005     0x0010     !  114
     1313465     0x0020     !  115
     1324930     0x0010     !  116
     1336390     0x0020     !  117
     1347855     0x0010     !  118
     1359315     0x0020     !  119
     1370780     0x0010     !  120
     1382240     0x0020     !  121
     1393705     0x0010     !  122
     1405165     0x0000     !  123
     1424457     0x0000     !  124
#
#
# vx_i: 480.00 vx_f: 479.45 stages:123 phase:   0.00 mass:  17.00
