# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  71.00 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11270     0x0020     !    1
       22790     0x0010     !    2
       34355     0x0020     !    3
       45965     0x0010     !    4
       57620     0x0020     !    5
       69330     0x0010     !    6
       81085     0x0020     !    7
       92885     0x0010     !    8
      104740     0x0020     !    9
      116645     0x0010     !   10
      128600     0x0020     !   11
      140605     0x0010     !   12
      152665     0x0020     !   13
      164780     0x0010     !   14
      176945     0x0020     !   15
      189170     0x0010     !   16
      201445     0x0020     !   17
      213780     0x0010     !   18
      226170     0x0020     !   19
      238615     0x0010     !   20
      251120     0x0020     !   21
      263685     0x0010     !   22
      276315     0x0020     !   23
      289000     0x0010     !   24
      301750     0x0020     !   25
      314560     0x0010     !   26
      327435     0x0020     !   27
      340375     0x0010     !   28
      353380     0x0020     !   29
      366455     0x0010     !   30
      379595     0x0020     !   31
      392805     0x0010     !   32
      406085     0x0020     !   33
      419435     0x0010     !   34
      432855     0x0020     !   35
      446355     0x0010     !   36
      459925     0x0020     !   37
      473570     0x0010     !   38
      487295     0x0020     !   39
      501100     0x0010     !   40
      514980     0x0020     !   41
      528945     0x0010     !   42
      542990     0x0020     !   43
      557125     0x0010     !   44
      571340     0x0020     !   45
      585645     0x0010     !   46
      600035     0x0020     !   47
      614520     0x0010     !   48
      629095     0x0020     !   49
      643765     0x0010     !   50
      658535     0x0020     !   51
      673400     0x0010     !   52
      688365     0x0020     !   53
      703430     0x0010     !   54
      718600     0x0020     !   55
      733875     0x0010     !   56
      749260     0x0020     !   57
      764760     0x0010     !   58
      780370     0x0020     !   59
      796095     0x0010     !   60
      811935     0x0020     !   61
      827900     0x0010     !   62
      843990     0x0020     !   63
      860210     0x0010     !   64
      876555     0x0020     !   65
      893035     0x0010     !   66
      909650     0x0020     !   67
      926405     0x0010     !   68
      943305     0x0020     !   69
      960350     0x0010     !   70
      977550     0x0020     !   71
      994905     0x0010     !   72
     1012415     0x0020     !   73
     1030095     0x0010     !   74
     1047940     0x0020     !   75
     1065960     0x0010     !   76
     1084155     0x0020     !   77
     1102540     0x0010     !   78
     1121115     0x0020     !   79
     1139880     0x0010     !   80
     1158855     0x0020     !   81
     1178035     0x0010     !   82
     1197430     0x0020     !   83
     1217050     0x0010     !   84
     1236905     0x0020     !   85
     1256995     0x0010     !   86
     1277335     0x0020     !   87
     1297935     0x0010     !   88
     1318805     0x0020     !   89
     1339950     0x0010     !   90
     1361390     0x0020     !   91
     1383130     0x0010     !   92
     1405190     0x0020     !   93
     1427575     0x0010     !   94
     1450310     0x0020     !   95
     1473405     0x0010     !   96
     1496885     0x0020     !   97
     1520760     0x0010     !   98
     1545060     0x0020     !   99
     1569800     0x0010     !  100
     1595010     0x0020     !  101
     1620720     0x0010     !  102
     1646955     0x0020     !  103
     1673755     0x0010     !  104
     1701150     0x0020     !  105
     1729190     0x0010     !  106
     1757915     0x0020     !  107
     1787385     0x0010     !  108
     1817660     0x0020     !  109
     1848805     0x0010     !  110
     1880900     0x0020     !  111
     1914040     0x0010     !  112
     1948340     0x0020     !  113
     1983920     0x0010     !  114
     2020945     0x0020     !  115
     2059595     0x0010     !  116
     2100120     0x0020     !  117
     2142810     0x0010     !  118
     2188060     0x0020     !  119
     2236395     0x0010     !  120
     2288545     0x0020     !  121
     2345590     0x0010     !  122
     2409245     0x0000     !  123
     2499244     0x0000     !  124
#
#
# vx_i: 480.00 vx_f:  78.67 stages:123 phase:  71.00 mass:  17.00
