# vx_i: 480.00 vx_f:   0.00 stages:123 phase:  73.40 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11425     0x0020     !    1
       22945     0x0010     !    2
       34510     0x0020     !    3
       46125     0x0010     !    4
       57790     0x0020     !    5
       69500     0x0010     !    6
       81265     0x0020     !    7
       93075     0x0010     !    8
      104940     0x0020     !    9
      116855     0x0010     !   10
      128825     0x0020     !   11
      140845     0x0010     !   12
      152920     0x0020     !   13
      165050     0x0010     !   14
      177240     0x0020     !   15
      189480     0x0010     !   16
      201780     0x0020     !   17
      214135     0x0010     !   18
      226550     0x0020     !   19
      239025     0x0010     !   20
      251560     0x0020     !   21
      264155     0x0010     !   22
      276815     0x0020     !   23
      289535     0x0010     !   24
      302320     0x0020     !   25
      315170     0x0010     !   26
      328085     0x0020     !   27
      341070     0x0010     !   28
      354120     0x0020     !   29
      367240     0x0010     !   30
      380430     0x0020     !   31
      393695     0x0010     !   32
      407030     0x0020     !   33
      420435     0x0010     !   34
      433920     0x0020     !   35
      447480     0x0010     !   36
      461115     0x0020     !   37
      474830     0x0010     !   38
      488625     0x0020     !   39
      502505     0x0010     !   40
      516465     0x0020     !   41
      530510     0x0010     !   42
      544645     0x0020     !   43
      558865     0x0010     !   44
      573170     0x0020     !   45
      587575     0x0010     !   46
      602065     0x0020     !   47
      616655     0x0010     !   48
      631340     0x0020     !   49
      646125     0x0010     !   50
      661010     0x0020     !   51
      675995     0x0010     !   52
      691085     0x0020     !   53
      706285     0x0010     !   54
      721595     0x0020     !   55
      737015     0x0010     !   56
      752550     0x0020     !   57
      768200     0x0010     !   58
      783975     0x0020     !   59
      799870     0x0010     !   60
      815885     0x0020     !   61
      832035     0x0010     !   62
      848315     0x0020     !   63
      864725     0x0010     !   64
      881280     0x0020     !   65
      897970     0x0010     !   66
      914810     0x0020     !   67
      931800     0x0010     !   68
      948940     0x0020     !   69
      966240     0x0010     !   70
      983700     0x0020     !   71
     1001330     0x0010     !   72
     1019125     0x0020     !   73
     1037100     0x0010     !   74
     1055260     0x0020     !   75
     1073605     0x0010     !   76
     1092140     0x0020     !   77
     1110880     0x0010     !   78
     1129825     0x0020     !   79
     1148980     0x0010     !   80
     1168360     0x0020     !   81
     1187965     0x0010     !   82
     1207810     0x0020     !   83
     1227895     0x0010     !   84
     1248240     0x0020     !   85
     1268850     0x0010     !   86
     1289730     0x0020     !   87
     1310900     0x0010     !   88
     1332370     0x0020     !   89
     1354150     0x0010     !   90
     1376260     0x0020     !   91
     1398705     0x0010     !   92
     1421510     0x0020     !   93
     1444690     0x0010     !   94
     1468265     0x0020     !   95
     1492255     0x0010     !   96
     1516680     0x0020     !   97
     1541570     0x0010     !   98
     1566950     0x0020     !   99
     1592845     0x0010     !  100
     1619295     0x0020     !  101
     1646340     0x0010     !  102
     1674010     0x0020     !  103
     1702360     0x0010     !  104
     1731440     0x0020     !  105
     1761310     0x0010     !  106
     1792040     0x0020     !  107
     1823705     0x0010     !  108
     1856395     0x0020     !  109
     1890220     0x0010     !  110
     1925310     0x0020     !  111
     1961810     0x0010     !  112
     1999915     0x0020     !  113
     2039845     0x0010     !  114
     2081905     0x0020     !  115
     2126465     0x0010     !  116
     2174040     0x0020     !  117
     2225335     0x0010     !  118
     2281395     0x0020     !  119
     2343860     0x0010     !  120
     2415615     0x0020     !  121
     2502740     0x0010     !  122
     2624580     0x0000     !  123
     2862823     0x0000     !  124
#
#
# vx_i: 480.00 vx_f:  29.41 stages:123 phase:  73.40 mass:  17.00
