# vx_i: 470.00 vx_f:   0.00 stages:123 phase:  68.18 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11305     0x0020     !    1
       23070     0x0010     !    2
       34880     0x0020     !    3
       46740     0x0010     !    4
       58645     0x0020     !    5
       70605     0x0010     !    6
       82615     0x0020     !    7
       94670     0x0010     !    8
      106780     0x0020     !    9
      118945     0x0010     !   10
      131160     0x0020     !   11
      143430     0x0010     !   12
      155750     0x0020     !   13
      168130     0x0010     !   14
      180565     0x0020     !   15
      193055     0x0010     !   16
      205600     0x0020     !   17
      218205     0x0010     !   18
      230870     0x0020     !   19
      243595     0x0010     !   20
      256380     0x0020     !   21
      269225     0x0010     !   22
      282135     0x0020     !   23
      295110     0x0010     !   24
      308145     0x0020     !   25
      321245     0x0010     !   26
      334415     0x0020     !   27
      347650     0x0010     !   28
      360950     0x0020     !   29
      374325     0x0010     !   30
      387765     0x0020     !   31
      401280     0x0010     !   32
      414865     0x0020     !   33
      428525     0x0010     !   34
      442260     0x0020     !   35
      456075     0x0010     !   36
      469965     0x0020     !   37
      483930     0x0010     !   38
      497980     0x0020     !   39
      512110     0x0010     !   40
      526325     0x0020     !   41
      540620     0x0010     !   42
      555005     0x0020     !   43
      569475     0x0010     !   44
      584040     0x0020     !   45
      598690     0x0010     !   46
      613435     0x0020     !   47
      628275     0x0010     !   48
      643210     0x0020     !   49
      658245     0x0010     !   50
      673375     0x0020     !   51
      688615     0x0010     !   52
      703955     0x0020     !   53
      719400     0x0010     !   54
      734955     0x0020     !   55
      750625     0x0010     !   56
      766405     0x0020     !   57
      782300     0x0010     !   58
      798315     0x0020     !   59
      814450     0x0010     !   60
      830710     0x0020     !   61
      847100     0x0010     !   62
      863615     0x0020     !   63
      880265     0x0010     !   64
      897055     0x0020     !   65
      913980     0x0010     !   66
      931050     0x0020     !   67
      948270     0x0010     !   68
      965635     0x0020     !   69
      983160     0x0010     !   70
     1000840     0x0020     !   71
     1018690     0x0010     !   72
     1036700     0x0020     !   73
     1054890     0x0010     !   74
     1073255     0x0020     !   75
     1091805     0x0010     !   76
     1110545     0x0020     !   77
     1129475     0x0010     !   78
     1148615     0x0020     !   79
     1167955     0x0010     !   80
     1187515     0x0020     !   81
     1207295     0x0010     !   82
     1227305     0x0020     !   83
     1247550     0x0010     !   84
     1268045     0x0020     !   85
     1288795     0x0010     !   86
     1309815     0x0020     !   87
     1331105     0x0010     !   88
     1352690     0x0020     !   89
     1374570     0x0010     !   90
     1396760     0x0020     !   91
     1419280     0x0010     !   92
     1442140     0x0020     !   93
     1465360     0x0010     !   94
     1488950     0x0020     !   95
     1512935     0x0010     !   96
     1537330     0x0020     !   97
     1562165     0x0010     !   98
     1587455     0x0020     !   99
     1613235     0x0010     !  100
     1639530     0x0020     !  101
     1666370     0x0010     !  102
     1693795     0x0020     !  103
     1721845     0x0010     !  104
     1750560     0x0020     !  105
     1779990     0x0010     !  106
     1810195     0x0020     !  107
     1841240     0x0010     !  108
     1873200     0x0020     !  109
     1906155     0x0010     !  110
     1940205     0x0020     !  111
     1975475     0x0010     !  112
     2012100     0x0020     !  113
     2050250     0x0010     !  114
     2090130     0x0020     !  115
     2132005     0x0010     !  116
     2176210     0x0020     !  117
     2223175     0x0010     !  118
     2273495     0x0020     !  119
     2328020     0x0010     !  120
     2388015     0x0020     !  121
     2455560     0x0010     !  122
     2534535     0x0000     !  123
     2653805     0x0000     !  124
#
#
# vx_i: 470.00 vx_f:  60.09 stages:123 phase:  68.18 mass:  17.00
