#
#
#
#
1010 0x0010 ! 
10450 0x0020 ! 1
22735 0x0010 ! 2
35070 0x0020 ! 3
47460 0x0010 ! 4
59895 0x0020 ! 5
72390 0x0010 ! 6
84930 0x0020 ! 7
97530 0x0010 ! 8
110185 0x0020 ! 9
122890 0x0010 ! 10
135655 0x0020 ! 11
148475 0x0010 ! 12
161355 0x0020 ! 13
174290 0x0010 ! 14
187285 0x0020 ! 15
200340 0x0010 ! 16
213455 0x0020 ! 17
226630 0x0010 ! 18
239870 0x0020 ! 19
253175 0x0010 ! 20
266540 0x0020 ! 21
279975 0x0010 ! 22
293470 0x0020 ! 23
307035 0x0010 ! 24
320670 0x0020 ! 25
334370 0x0010 ! 26
348145 0x0020 ! 27
361990 0x0010 ! 28
375905 0x0020 ! 29
389895 0x0010 ! 30
403960 0x0020 ! 31
418100 0x0010 ! 32
432320 0x0020 ! 33
446615 0x0010 ! 34
460990 0x0020 ! 35
475445 0x0010 ! 36
489985 0x0020 ! 37
504610 0x0010 ! 38
519320 0x0020 ! 39
534115 0x0010 ! 40
549000 0x0020 ! 41
563975 0x0010 ! 42
579040 0x0020 ! 43
594200 0x0010 ! 44
609455 0x0020 ! 45
624805 0x0010 ! 46
640255 0x0020 ! 47
655810 0x0010 ! 48
671465 0x0020 ! 49
687220 0x0010 ! 50
703090 0x0020 ! 51
719065 0x0010 ! 52
735150 0x0020 ! 53
751355 0x0010 ! 54
767670 0x0020 ! 55
784105 0x0010 ! 56
800665 0x0020 ! 57
817345 0x0010 ! 58
834155 0x0020 ! 59
851095 0x0010 ! 60
868170 0x0020 ! 61
885375 0x0010 ! 62
902725 0x0020 ! 63
920215 0x0010 ! 64
937855 0x0020 ! 65
955645 0x0010 ! 66
973585 0x0020 ! 67
991690 0x0010 ! 68
1009955 0x0020 ! 69
1028385 0x0010 ! 70
1046990 0x0020 ! 71
1065770 0x0010 ! 72
1084730 0x0020 ! 73
1103880 0x0010 ! 74
1123225 0x0020 ! 75
1142765 0x0010 ! 76
1162510 0x0020 ! 77
1182470 0x0010 ! 78
1202650 0x0020 ! 79
1223050 0x0010 ! 80
1243690 0x0020 ! 81
1264570 0x0010 ! 82
1285700 0x0020 ! 83
1307090 0x0010 ! 84
1328750 0x0020 ! 85
1350695 0x0010 ! 86
1372925 0x0020 ! 87
1395465 0x0010 ! 88
1418315 0x0020 ! 89
1441500 0x0010 ! 90
1465030 0x0020 ! 91
1488915 0x0010 ! 92
1513185 0x0020 ! 93
1537845 0x0010 ! 94
1562925 0x0020 ! 95
1588445 0x0010 ! 96
1614425 0x0020 ! 97
1640895 0x0010 ! 98
1667880 0x0020 ! 99
1695410 0x0010 ! 100
1723530 0x0020 ! 101
1752265 0x0010 ! 102
1781670 0x0020 ! 103
1811790 0x0010 ! 104
1842675 0x0020 ! 105
1874390 0x0010 ! 106
1907005 0x0020 ! 107
1940605 0x0010 ! 108
1975280 0x0020 ! 109
2011140 0x0010 ! 110
2048325 0x0020 ! 111
2086980 0x0010 ! 112
2127305 0x0020 ! 113
2169530 0x0010 ! 114
2213960 0x0020 ! 115
2260970 0x0010 ! 116
2311085 0x0020 ! 117
2365000 0x0010 ! 118
2423750 0x0020 ! 119
2488930 0x0010 ! 120
2563270 0x0020 ! 121
2652300 0x0010 ! 122
2771730 0x0000 ! 123
3152965 0x0000 ! 124
#
#
#
